DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
PILOCARPIN,SOLIDO,GENFAR,NO REGULADO
PILOCARPIN,SOLIDO,HUMAX,NO REGULADO
PILOCARPIN,SOLIDO,BECHEMICAL,NO REGULADO
PILOCARPIN,SOLIDO,SERANEST,NO REGULADO
PILOCARPIN,SOLIDO,PHARM SERVICES,NO REGULADO
PILOCARPIN,SOLIDO,BALANCE,NO REGULADO
PILOCARPIN,SOLIDO,LEGRAND,NO REGULADO
PILOCARPIN,SOLIDO,SYNTHESIS,NO REGULADO
PILOCARPIN,SOLIDO,AMDIPHARM,NO REGULADO
TOPOTECA,LIQUIDO/SOLIDO,VENUS,NO REGULADO
METOPROLO,SOLIDO,ROPSOHN,NO REGULADO
METOPROLO,SOLIDO,NTI NEW TRADE,NO REGULADO
METOPROLO,SOLIDO,PENTACOOP,NO REGULADO
METOPROLO,SOLIDO,BLUEPHARMA,NO REGULADO
METOPROLO,SOLIDO,LAPROFF,NO REGULADO
METOPROLO,SOLIDO,NOVARTIS,NO REGULADO
METOPROLO,SOLIDO,WINTHROP,NO REGULADO
METOPROLO,SOLIDO,MEMPHIS,NO REGULADO
METOPROLO,SOLIDO,BIOQUIFAR,NO REGULADO
METOPROLO,SOLIDO,TECNOQUIMICAS,NO REGULADO
METOPROLO,SOLIDO,ANZG,NO REGULADO
METOPROLO,SOLIDO,LA SANTE,NO REGULADO
CARVEDILO,SOLIDO,MEMPHIS,NO REGULADO
CARVEDILO,SOLIDO,SIEGFRIED,NO REGULADO
CARVEDILO,SOLIDO,MK,NO REGULADO
CARVEDILO,SOLIDO,TECNOQUIMICAS,NO REGULADO
CARVEDILO,SOLIDO,LA SANTE,NO REGULADO
CARVEDILO,SOLIDO,SYNTHESIS,NO REGULADO
CARVEDILO,SOLIDO,SANOFI AVENTIS,NO REGULADO
CARVEDILO,SOLIDO,WINTHROP,NO REGULADO
CARVEDILO,SOLIDO,BLASKOV,NO REGULADO
CARVEDILO,SOLIDO,GRUFARMA,NO REGULADO
CARVEDILO,SOLIDO,SANDOZ,NO REGULADO
CARVEDILO,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTA,SOLIDO,BIOREG PHARM,NO REGULADO
IRBESARTA,SOLIDO,ECAR,NO REGULADO
IRBESARTA,SOLIDO,HETERO,NO REGULADO
IRBESARTA,SOLIDO,GALENICUM HEALTH,NO REGULADO
IRBESARTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTA,SOLIDO,CIPLA,NO REGULADO
IRBESARTA,SOLIDO,SALUSPHARMA,NO REGULADO
IRBESARTA,SOLIDO,BLUEPHARMA,NO REGULADO
IRBESARTA,SOLIDO,CLOSTER PHARMA,NO REGULADO
IRBESARTA,SOLIDO,LA SANTE,NO REGULADO
IRBESARTA,SOLIDO,BIOTOSCANA,NO REGULADO
IRBESARTA,SOLIDO,SANDOZ,NO REGULADO
IRBESARTA,SOLIDO,AMERICAN GENERICS,NO REGULADO
IRBESARTA,SOLIDO,SIEGFRIED,NO REGULADO
TOLTERODIN,SOLIDO,HETERO,NO REGULADO
TOLTERODIN,SOLIDO,XINETIX PHARMA,NO REGULADO
TOLTERODIN,SOLIDO,PROCAPS,NO REGULADO
TOLTERODIN,SOLIDO,SEVEN PHARMA,NO REGULADO
TOLTERODIN,SOLIDO,LAFRANCOL,NO REGULADO
ITRACONAZO,SOLIDO,GLENMARK,NO REGULADO
ITRACONAZO,SOLIDO,SUIPHAR,NO REGULADO
ITRACONAZO,SOLIDO,BIOQUIFAR,NO REGULADO
ANASTROZO,SOLIDO,LEGRAND,NO REGULADO
ANASTROZO,SOLIDO,CIPLA,NO REGULADO
ANASTROZO,SOLIDO,PINT PHARMA,NO REGULADO
ANASTROZO,SOLIDO,DENK PHARMA,NO REGULADO
ANASTROZO,SOLIDO,HETERO,NO REGULADO
ANASTROZO,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
ANASTROZO,SOLIDO,SEVEN PHARMA,NO REGULADO
ANASTROZO,SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
ANASTROZO,SOLIDO,FRESENIUS,NO REGULADO
ANASTROZO,SOLIDO,SANDOZ,NO REGULADO
ANASTROZO,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ANASTROZO,SOLIDO,MONTE VERDE,NO REGULADO
CARBAMAZEPIN,SOLIDO,LAPROFF,NO REGULADO
CARBAMAZEPIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
DESVENLAFAXIN,SOLIDO,EUROFARMA,NO REGULADO
DESVENLAFAXIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
DESVENLAFAXIN,SOLIDO,WINTHROP,NO REGULADO
DESVENLAFAXIN,SOLIDO,MK,NO REGULADO
RILUZO,SOLIDO,ACTIFARMA,NO REGULADO
TICAGRELO,SOLIDO,THE LABS,NO REGULADO
TICAGRELO,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
TICAGRELO,SOLIDO,ALKEM,NO REGULADO
ITRACONAZO,LIQUIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
ITRACONAZO,LIQUIDO,SALUSPHARMA,NO REGULADO
CARBAMAZEPIN,LIQUIDO,BUSSIÉ,NO REGULADO
CARBAMAZEPIN,LIQUIDO,NOVARTIS,NO REGULADO
CARBAMAZEPIN,LIQUIDO,MEMPHIS,NO REGULADO
CARBAMAZEPIN,LIQUIDO,MATPRIFAR,NO REGULADO
TACROLIMU,"TACROLIMUS 4,5MG/15G (30MG/100G)",Tópica x 1,NO REGULADO
TACROLIMU,TACROLIMUS 15MG/15G (100MG/100G),Tópica x 1,NO REGULADO
TACROLIMU,SEMISOLIDO,PROCAPS,NO REGULADO
LEVETIRACETA,LIQUIDO,LAFRANCOL,NO REGULADO
LEVETIRACETA,LIQUIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
LEVETIRACETA,LIQUIDO,SALUSPHARMA,NO REGULADO
LEVETIRACETA,LIQUIDO,ALTADIS,NO REGULADO
LEVETIRACETA,LIQUIDO,NOVAMED,NO REGULADO
LEVETIRACETA,LIQUIDO,WINTHROP,NO REGULADO
LEVETIRACETA,LIQUIDO,AH ROBINS,NO REGULADO
LEVETIRACETA,LIQUIDO,SYNTHESIS,NO REGULADO
OXIDO NITRIC,GAS,MESSER,NO REGULADO
OXIDO NITRIC,GAS,CRYOGAS,NO REGULADO
RISPERIDON,LIQUIDO,SANOFI AVENTIS,NO REGULADO
RISPERIDON,LIQUIDO,SANDOZ,NO REGULADO
RISPERIDON,LIQUIDO,ANDROMACO,NO REGULADO
BRIMONIDIN,LIQUIDO,TECNOFAR,NO REGULADO
BRIMONIDIN,LIQUIDO,SALUS PHARMA,NO REGULADO
BRIMONIDIN,LIQUIDO,CAPLIN POINT,NO REGULADO
BRIMONIDIN,LIQUIDO,BIO ESTERIL,NO REGULADO
TIMOLO,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
TIMOLO,LIQUIDO,MUNDIPHARMA,NO REGULADO
TIMOLO,LIQUIDO,MEMPHIS,NO REGULADO
TIMOLO,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
TIMOLO,LIQUIDO,SYV PHARMA,NO REGULADO
TIMOLO,LIQUIDO,FARMASER,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 100,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 50,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 25,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 16,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 12,NO REGULADO
TIMOLO,TIMOLOL 25MG/5ML (5MG/1ML),Oftálmica x 1,NO REGULADO
TIMOLO,LIQUIDO,SAVAL,NO REGULADO
TIMOLO,LIQUIDO,BIOCHEM,NO REGULADO
TIMOLO,LIQUIDO,OPHARM,NO REGULADO
TIMOLO,LIQUIDO,LABORATORIOS RICHMOND,NO REGULADO
TIMOLO,LIQUIDO,INCOBRA,NO REGULADO
TIMOLO,LIQUIDO,BLASKOV,NO REGULADO
TIMOLO,LIQUIDO,VISIONEX,NO REGULADO
TIMOLO,LIQUIDO,TECNOQUIMICAS,NO REGULADO
TIMOLO,LIQUIDO,LA SANTE,NO REGULADO
LATANOPROS,LIQUIDO,BAUSCH,NO REGULADO
LATANOPROS,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
LATANOPROS,LIQUIDO,BALANCE,NO REGULADO
LATANOPROS,LIQUIDO,SYNTHESIS,NO REGULADO
LATANOPROS,LIQUIDO,TECNOQUIMICAS,NO REGULADO
BIMATOPROS,LIQUIDO,SUN PHARMACEUTICAL,NO REGULADO
BIMATOPROS,LIQUIDO,TECNOQUIMICAS,NO REGULADO
BIMATOPROS,LIQUIDO,VITALIS,NO REGULADO
TRAVOPROS,LIQUIDO,ALCON,NO REGULADO
TRAVOPROS,LIQUIDO,SYNTHESIS,NO REGULADO
TRAVOPROS,LIQUIDO,VITALIS,NO REGULADO
DORZOLAMID,LIQUIDO,MUNDIPHARMA,NO REGULADO
DORZOLAMID,LIQUIDO,TECNOQUIMICAS,NO REGULADO
DORZOLAMID,LIQUIDO,PROFMA,NO REGULADO
MEMANTIN,SOLIDO,SOLUCIONES INTEGRALES REGULATORIAS,NO REGULADO
MEMANTIN,SOLIDO,ACHE LABORATORIOS FARMACEUTICOS,NO REGULADO
MEMANTIN,SOLIDO,BIOGARAN,NO REGULADO
MEMANTIN,SOLIDO,LAPROFF,NO REGULADO
MEMANTIN,SOLIDO,LABORATORIOS RICHMOND,NO REGULADO
MEMANTIN,SOLIDO,SALUSPHARMA,NO REGULADO
MEMANTIN,SOLIDO,ALTADIS,NO REGULADO
MEMANTIN,SOLIDO,AUROBINDO,NO REGULADO
MEMANTIN,SOLIDO,NOVAMED,NO REGULADO
MEMANTIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
MEMANTIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
MEMANTIN,SOLIDO,SIEGFRIED,NO REGULADO
MEMANTIN,SOLIDO,WINTHROP,NO REGULADO
MEMANTIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MEMANTIN,SOLIDO,PROCAPS,NO REGULADO
MEMANTIN,SOLIDO,BUSSIÉ,NO REGULADO
RISPERIDON,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
RISPERIDON,SOLIDO,LA SANTE,NO REGULADO
RISPERIDON,SOLIDO,MOMENTA,NO REGULADO
RISPERIDON,SOLIDO,LAFRANCOL,NO REGULADO
RISPERIDON,SOLIDO,CIPLA,NO REGULADO
RISPERIDON,SOLIDO,BRAINPHARMA,NO REGULADO
RISPERIDON,SOLIDO,HUMAX,NO REGULADO
RISPERIDON,SOLIDO,SANDOZ,NO REGULADO
RISPERIDON,SOLIDO,ANDROMACO,NO REGULADO
RISPERIDON,SOLIDO,PROCAPS,NO REGULADO
RISPERIDON,SOLIDO,BLUEPHARMA,NO REGULADO
RISPERIDON,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TIOTROPIO BROMUR,SOLIDO,EXELTIS,NO REGULADO
TIOTROPIO BROMUR,SOLIDO,CIPLA,NO REGULADO
TIOTROPIO BROMUR,SOLIDO,BIOSYNTEC,NO REGULADO
TIOTROPIO BROMUR,SOLIDO,BIOTOSCANA,NO REGULADO
TIOTROPIO BROMUR,SOLIDO,BCN MEDICAL,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,CAPLIN,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,GALENICUM HEALTH,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,SETAA,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
TIGECICLIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,COMERCIAL MEDICA,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,VICAR,NO REGULADO
DORIPENE,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
MOXIFLOXACIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
MOXIFLOXACIN,LIQUIDO/SOLIDO,BIOFLUIDOS & FARMA,NO REGULADO
ENFUVIRTID,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
PRASUGRE,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
FLUDARABIN,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
VALPROICO ACID,SOLIDO,ARMSTRONG,NO REGULADO
VALPROICO ACID,SOLIDO,NOVAMED,NO REGULADO
VALPROICO ACID,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
VALPROICO ACID,SOLIDO,BAGO,NO REGULADO
VALPROICO ACID,SOLIDO,SYNTHESIS,NO REGULADO
VALPROICO ACID,SOLIDO,LABMEDICK,NO REGULADO
VALPROICO ACID,SOLIDO,SIEGFRIED,NO REGULADO
PAZOPANI,SOLIDO,NOVARTIS,NO REGULADO
VORICONAZO,SOLIDO,LEGRAND,NO REGULADO
VORICONAZO,SOLIDO,STEIN,NO REGULADO
VORICONAZO,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
VORICONAZO,SOLIDO,PROCAPS,NO REGULADO
VORICONAZO,SOLIDO,INTAS,NO REGULADO
VORICONAZO,SOLIDO,LAFRANCOL,NO REGULADO
VORICONAZO,SOLIDO,PFIZER,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,GADOR,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,PROFAMILIA,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,ANDROMACO,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,LAFRANCOL,NO REGULADO
DESMOPRESIN,LIQUIDO,ORPHANPHARMA,NO REGULADO
DESMOPRESIN,LIQUIDO,PISA,NO REGULADO
DESMOPRESIN,LIQUIDO/SOLIDO,KEDRION,NO REGULADO
POSACONAZO,LIQUIDO,MERCK SHARP DOME,NO REGULADO
OXCARBAZEPIN,SOLIDO,BRAINPHARMA,NO REGULADO
OXCARBAZEPIN,SOLIDO,PINT PHARMA,NO REGULADO
OXCARBAZEPIN,SOLIDO,SYNTHESIS,NO REGULADO
OXCARBAZEPIN,SOLIDO,LEGRAND,NO REGULADO
DOMPERIDON,SOLIDO,EUROFARMA,NO REGULADO
DOMPERIDON,SOLIDO,JOINPHARM,NO REGULADO
DOMPERIDON,SOLIDO,BLASKOV,NO REGULADO
MOMETASON,LIQUIDO,MERCK SHARP DOME,NO REGULADO
MOMETASON,LIQUIDO,GLENMARK,NO REGULADO
MOMETASON,LIQUIDO,CIPLA,NO REGULADO
MOMETASON,LIQUIDO,TECNOQUIMICAS,NO REGULADO
MOMETASON,LIQUIDO,SYNTHESIS,NO REGULADO
MOMETASON,LIQUIDO,NOVAMED,NO REGULADO
MOMETASON,LIQUIDO,TECNOFAR,NO REGULADO
MOMETASON,LIQUIDO,LA SANTE,NO REGULADO
MOMETASON,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
MOMETASON,LIQUIDO,PROCAPS,NO REGULADO
MOMETASON,LIQUIDO,COLMED,NO REGULADO
MOMETASON,LIQUIDO,BLASKOV,NO REGULADO
MOMETASON,LIQUIDO,BIOTOSCANA,NO REGULADO
MOMETASON,LIQUIDO,LAFRANCOL,NO REGULADO
ATORVASTATINA Y EZETIMIB,SOLIDO,MK,NO REGULADO
ATORVASTATINA Y EZETIMIB,SOLIDO,SIEGFRIED,NO REGULADO
ATORVASTATINA Y EZETIMIB,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ATORVASTATINA Y EZETIMIB,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
ATORVASTATINA Y EZETIMIB,SOLIDO,LAFRANCOL,NO REGULADO
IXABEPILON,LIQUIDO/SOLIDO,R,NO REGULADO
IBANDRONICO ACID,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
IBANDRONICO ACID,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
IBANDRONICO ACID,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
ERITROPOYETIN,SOLIDO,BIOSIDUS,NO REGULADO
ERITROPOYETIN,SOLIDO,BLAU,NO REGULADO
ERITROPOYETIN,LIQUIDO,BLAU,NO REGULADO
ERITROPOYETIN,LIQUIDO,CENTRO DE INMUNOLOGIA MOLECULAR,NO REGULADO
ERITROPOYETIN,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
ERITROPOYETIN,LIQUIDO,CIMAB,NO REGULADO
ERITROPOYETIN,LIQUIDO,ROCHE,NO REGULADO
ERITROPOYETIN,LIQUIDO,DONG A,NO REGULADO
ERITROPOYETIN,LIQUIDO,BIOSIDUS,NO REGULADO
SOMATOSTATIN,LIQUIDO/SOLIDO,DELTA,NO REGULADO
SOMATOSTATIN,LIQUIDO/SOLIDO,LYOMARK PHARMA,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,VICARFARMACEUTICA,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,DR REDDY,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
CLOFARABIN,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FILGRASTI,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
FILGRASTI,LIQUIDO/SOLIDO,BIOSIDUS,NO REGULADO
FILGRASTI,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
FILGRASTI,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
VALPROICO ACID,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
VALPROICO ACID,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
VALPROICO ACID,LIQUIDO/SOLIDO,CAMBRIDGE,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,HUMAX,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,ANKH AND RODERICK,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,CHIESI,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
CAFEIN,LIQUIDO/SOLIDO,LASMA,NO REGULADO
TRIPTORELI,SOLIDO,DEBIOPHARM,NO REGULADO
TRIPTORELI,SOLIDO,FERRING,NO REGULADO
TRIPTORELI,SOLIDO,IPSEN,NO REGULADO
LEVONORGESTRE,SOLIDO,PAULY,NO REGULADO
LEVONORGESTRE,SOLIDO,LAFRANCOL,NO REGULADO
LEVONORGESTRE,SOLIDO,BCN MEDICAL,NO REGULADO
LEVONORGESTRE,SOLIDO,BAYER,NO REGULADO
LEVETIRACETA,LIQUIDO/SOLIDO,MEGALABS,NO REGULADO
LEVETIRACETA,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LACOSAMID,SOLIDO,GENLAB,NO REGULADO
LACOSAMID,SOLIDO,CLINICOS Y HOSPITALARIOS DE COLOMBIA,NO REGULADO
LACOSAMID,SOLIDO,CADILA,NO REGULADO
LACOSAMID,SOLIDO,LAFRANCOL,NO REGULADO
LACOSAMID,SOLIDO,BECHEMICAL,NO REGULADO
LACOSAMID,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
LACOSAMID,SOLIDO,HETERO,NO REGULADO
LACOSAMID,SOLIDO,LEGRAND,NO REGULADO
LACOSAMID,SOLIDO,SANOFI AVENTIS,NO REGULADO
LACOSAMID,SOLIDO,MONTE VERDE,NO REGULADO
LACOSAMID,SOLIDO,BIOPAS,NO REGULADO
METOPROLO,SOLIDO,HUMAX,NO REGULADO
METOPROLO,SOLIDO,PROCAPS,NO REGULADO
MEDROXIPROGESTERONA Y ETINILESTRADIO,LIQUIDO/SOLIDO,AULEN,NO REGULADO
MEDROXIPROGESTERONA Y ETINILESTRADIO,LIQUIDO/SOLIDO,AMERICAN GENERICS,NO REGULADO
DARUNAVIR + RITONAVI,SOLIDO,CLINICOS Y HOSPITALARIOS DE COLOMBIA,NO REGULADO
RITONAVI,SOLIDO,THE LABS,NO REGULADO
RITONAVI,SOLIDO,HUMAX,NO REGULADO
RITONAVI,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
RITONAVI,SOLIDO,SALUSPHARMA,NO REGULADO
RITONAVI,SOLIDO,HETERO,NO REGULADO
RITONAVI,SOLIDO,MYLAN,NO REGULADO
RITONAVI,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
RITONAVI,SOLIDO,BIOTOSCANA,NO REGULADO
RITONAVI,SOLIDO,CIPLA,NO REGULADO
MOXIFLOXACIN,LIQUIDO,TECNOFAR,NO REGULADO
MOXIFLOXACIN,LIQUIDO,I LAB,NO REGULADO
MOXIFLOXACIN,LIQUIDO,SAVAL,NO REGULADO
MOXIFLOXACIN,LIQUIDO,INCOBRA,NO REGULADO
MOXIFLOXACIN,LIQUIDO,OPHARM,NO REGULADO
MOXIFLOXACIN,LIQUIDO,XINETIX PHARMA,NO REGULADO
MOXIFLOXACIN,LIQUIDO,WILLOW,NO REGULADO
MOXIFLOXACIN,LIQUIDO,TECNOQUIMICAS,NO REGULADO
MOXIFLOXACIN,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS,NO REGULADO
MOXIFLOXACIN,LIQUIDO,NOVARTIS,NO REGULADO
TOFACITINI,SOLIDO,PFIZER,NO REGULADO
SECUKINUMA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
TELMISARTA,SOLIDO,GLENMARK,NO REGULADO
TELMISARTA,SOLIDO,IPCA,NO REGULADO
TELMISARTA,SOLIDO,WILLOW,NO REGULADO
TELMISARTA,SOLIDO,ALTADIS,NO REGULADO
TELMISARTA,SOLIDO,PROCAPS,NO REGULADO
TELMISARTA,SOLIDO,TECNOQUIMICAS,NO REGULADO
TELMISARTA,SOLIDO,HETERO,NO REGULADO
TELMISARTA,SOLIDO,GENFAR,NO REGULADO
TELMISARTA,SOLIDO,IDEFAR,NO REGULADO
TELMISARTA,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
TELMISARTA,SOLIDO,LEGRAND,NO REGULADO
TELMISARTA,SOLIDO,SYNTHESIS,NO REGULADO
GESTODENO Y ESTROGEN,SOLIDO,BAYER,NO REGULADO
GESTODENO Y ESTROGEN,SOLIDO,MOMENTA,NO REGULADO
GESTODENO Y ESTROGEN,SOLIDO,EUROFARMA,NO REGULADO
MEDROXIPROGESTERON,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MEDROXIPROGESTERON,LIQUIDO/SOLIDO,PROFAMILIA,NO REGULADO
MEDROXIPROGESTERON,LIQUIDO/SOLIDO,FEPARVI,NO REGULADO
MEDROXIPROGESTERON,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,NOVAMED,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,AMERICAN GENERICS,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,HETERO,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,ADLER,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,MEEDPHARMA,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,EXELTIS,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,BIOSYNTEC,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,PROCAPS,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,PROFAMILIA,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,CHALVER,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,GEDEON RICHTER,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,PFIZER,NO REGULADO
NEBIVOLO,SOLIDO,COLMED,NO REGULADO
NEBIVOLO,SOLIDO,HETERO,NO REGULADO
NEBIVOLO,SOLIDO,GENFAR,NO REGULADO
NEBIVOLO,SOLIDO,MK,NO REGULADO
NEBIVOLO,SOLIDO,VITALCHEM,NO REGULADO
NEBIVOLO,SOLIDO,MONTE VERDE,NO REGULADO
NEBIVOLO,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
NEBIVOLO,SOLIDO,UNIQUE PHARMACEUTICAL,NO REGULADO
NEBIVOLO,SOLIDO,MENARINI,NO REGULADO
MOXIFLOXACIN,SOLIDO,ANGLOPHARMA,NO REGULADO
MOXIFLOXACIN,SOLIDO,BIOQUIFAR,NO REGULADO
MOXIFLOXACIN,SOLIDO,MOMENTA,NO REGULADO
MOXIFLOXACIN,SOLIDO,HETERO,NO REGULADO
MOXIFLOXACIN,SOLIDO,EUROFARMA,NO REGULADO
MOXIFLOXACIN,SOLIDO,BLUEPHARMA,NO REGULADO
MOXIFLOXACIN,SOLIDO,WINTHROP,NO REGULADO
MOXIFLOXACIN,SOLIDO,LEGRAND,NO REGULADO
