NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO ETICA,CINFA S.A.,BAJA GENERAL,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO ETICA,CINFA S.A.,BAJA GENERAL,"AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO ETICA,CINFA S.A.,BAJA GENERAL,"HIDROCLOROTIAZIDA,AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO",NO
TRESIBA,MEDICAMENTO ETICA,NOVO NORDISK PHARMA S.A.,ALTA,INSULINA DEGLUDEC,NO
CATAPRESAN,MEDICAMENTO ETICA,GLENWOOD GMBH  PHARMAZEUTISCHE ERZEUGNISSE,ALTA,CLONIDINA HIDROCLORURO,SI
TAMSULOSINA KRKA,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",ALTA,TAMSULOSINA HIDROCLORURO,NO
IBUPROFENO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,IBUPROFENO,NO
PAROXETINA RATIO,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",ALTA,PAROXETINA  HIDROCLORURO,NO
SILODOSINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,SILODOSINA,NO
FEBUXOSTAT TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,FEBUXOSTAT,NO
ACICLOVIR AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,ACICLOVIR,NO
DRONEDARONA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,DRONEDARONA CLORHIDRATO,NO
IBUPROFENO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,IBUPROFENO,NO
AZILECT,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,RASAGILINA MESILATO,NO
BETAHISTINA NORMON,MEDICAMENTO ETICA,NORMON S.A.,ALTA,BETAHISTINA DIHIDROCLORURO,NO
ESOMEPRAZOL VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESOMEPRAZOL MAGNESICO DIHIDRATO,NO
AZITROMICINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,AZITROMICINA DIHIDRATO,NO
TOVIAZ,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,FESOTERODINA FUMARATO,NO
PAROXETINA TEVA-RIMAFAR,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,PAROXETINA  HIDROCLORURO,NO
SILODOSINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,SILODOSINA,NO
SERC FLAS,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,BETAHISTINA DIHIDROCLORURO,NO
ATORVASTATINA OPKO,MEDICAMENTO GENERICO,"OPKO HEALTH SPAIN, S.L.U",BAJA POR NO COMERCIALIZAR,ATORVASTATINA CALCICA TRIHIDRATO,NO
FLUOXETINA VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,FLUOXETINA,NO
RUBIFEN RETARD,MEDICAMENTO GENERICO,RUBIO S.A.,ALTA,METILFENIDATO HIDROCLORURO,NO
PSICOTRIC,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,QUETIAPINA FUMARATO,NO
HIDROCLOROTIAZIDA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,HIDROCLOROTIAZIDA,SI
QUETIAPINA QUALIGEN,MEDICAMENTO ETICA,"NEURAXPHARM SPAIN, S.L.U",ALTA,QUETIAPINA FUMARATO,NO
QUETIAPINA QUALIGEN MEDICA,MEDICAMENTO ETICA,"NEURAXPHARM SPAIN, S.L.U",ALTA,QUETIAPINA FUMARATO,NO
ZONEGRAN,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,ZONISAMIDA,NO
CLOPIDOGREL PHARMA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,CLOPIDOGREL,NO
SILODOSINA KRKA,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",ALTA,SILODOSINA,NO
LIVAZO,MEDICAMENTO ETICA,"DIFARMED, S.L.U",BAJA POR NO COMERCIALIZAR,PITAVASTATINA,NO
SILODOSINA AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,SILODOSINA,NO
ALIPZA,MEDICAMENTO ETICA,"DIFARMED, S.L.U",BAJA POR NO COMERCIALIZAR,PITAVASTATINA,NO
APREDONAV,MEDICAMENTO GENERICO,MEDOCHEMIE IBERIA S.A. SUCURSAL EN ESPAÑA,ALTA,IVABRADINA HIDROCLORURO,NO
CELECOXIB KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,CELECOXIB,NO
MONOFLOX,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
PAROXETINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,PAROXETINA  HIDROCLORURO,NO
PARACETAMOL NEURAXPHARM,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,PARACETAMOL,NO
FLUTICASONA ALDO-UNION,MEDICAMENTO ETICA,"ALDO-UNION, S.L.",ALTA,FLUTICASONA PROPIONATO,NO
SOLIFENACINA CIPLA,MEDICAMENTO GENERICO,CIPLA EUROPE NV SUCURSAL EN ESPAÑA,BAJA POR NO COMERCIALIZAR,SOLIFENACINA SUCCINATO,NO
ATENOLOL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,ATENOLOL,SI
ESLICARBAZEPINA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,ESLICARBAZEPINA ACETATO,NO
FULVESTRANT STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,FULVESTRANT,NO
DEXULAC,MEDICAMENTO ETICA,REIG JOFRE S.A.,ALTA,CICLOPIROX,NO
ENOXAPARINA LEDRAXEN,MEDICAMENTO ETICA,VENIPHARM,ALTA,ENOXAPARINA SODICA,NO
ENOXAPARINA LEDRAXEN ,MEDICAMENTO ETICA,VENIPHARM,ALTA,ENOXAPARINA SODICA,NO
TRAMADOL/PARACETAMOL NORMON,MEDICAMENTO ETICA,NORMON S.A.,ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
CICLONIC,MEDICAMENTO ETICA,"GALENICUM DERMA, S.L.",ALTA,CICLOPIROX,NO
MEMANTINA MACLEODS,MEDICAMENTO GENERICO,MACLEODS PHARMA ESPAÑA S.L.U.,ALTA,MEMANTINA HIDROCLORURO,NO
BRINTELLIX,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,VORTIOXETINA LACTATO,NO
QUETIAPINA FARMAPROJECTS,MEDICAMENTO GENERICO,"FARMAPROJECTS, S.A.",ALTA,QUETIAPINA FUMARATO,NO
LANSOPRAZOL CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,LANSOPRAZOL,NO
TERROSA,MEDICAMENTO ETICA,"GEDEON RICHTER IBERICA, S.A",ALTA,TERIPARATIDA,NO
ZEBINIX,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,ESLICARBAZEPINA ACETATO,NO
PLEOPAR,MEDICAMENTO GENERICO,SPA FARMA IBERICA  S.L.,ALTA,PARICALCITOL,NO
LACOSAMIDA MACLEODS,MEDICAMENTO GENERICO,MACLEODS PHARMA ESPAÑA S.L.U.,ALTA,LACOSAMIDA,NO
LACOSAMIDA MACLEODS ,MEDICAMENTO GENERICO,MACLEODS PHARMA ESPAÑA S.L.U.,ALTA,LACOSAMIDA,NO
AVIDART,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,DUTASTERIDA,NO
OPIREN,MEDICAMENTO ETICA,"MELYFARMA, S.L.",BAJA POR NO COMERCIALIZAR,LANSOPRAZOL,NO
DUTASTERIDA/TAMSULOSINA COMBIX PHARMA,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,"DUTASTERIDA,TAMSULOSINA HIDROCLORURO",NO
ZARELIS RETARD,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,VENLAFAXINA  HIDROCLORURO,NO
ACICLOVIR CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,ACICLOVIR,NO
DRONEDARONA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,DRONEDARONA CLORHIDRATO,NO
VILDAGLIPTINA ZENTIVA,MEDICAMENTO GENERICO,ZENTIVA KS,ALTA,VILDAGLIPTINA,NO
YANIMO RESPIMAT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,"OLODATEROL,TIOTROPIO",NO
YANIMO RESPIMAT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,"TIOTROPIO,OLODATEROL",NO
STRIVERDI RESPIMAT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,OLODATEROL HIDROCLORURO,NO
SPIOLTO RESPIMAT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,"OLODATEROL,TIOTROPIO",NO
SPIOLTO RESPIMAT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,"TIOTROPIO,OLODATEROL",NO
LEVOTIROXINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,LEVOTIROXINA SODICA,SI
LEVOTIROXINA ARISTO,MEDICAMENTO ETICA,"ARISTO PHARMA IBERIA, S.L.",ALTA,LEVOTIROXINA SODICA,SI
ARIMIDEX,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,ANASTROZOL,NO
INHIBACE PLUS,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,"CILAZAPRIL,HIDROCLOROTIAZIDA",NO
ZARELIS RETARD,MEDICAMENTO ETICA,"DIFARMED, S.L.U",ALTA,VENLAFAXINA  HIDROCLORURO,NO
AMOXICILINA TARBIS FARMA,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,AMOXICILINA TRIHIDRATO,NO
IBUPROFENO LLORENS,MEDICAMENTO GENERICO,LLORENS S.L,BAJA GENERAL,IBUPROFENO,NO
DESLORATADINA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,DESLORATADINA,NO
DUTACAP,MEDICAMENTO GENERICO,"GALENICUM DERMA, S.L.",ALTA,DUTASTERIDA,NO
DUTASTERIDA/TAMSULOSINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"TAMSULOSINA HIDROCLORURO,DUTASTERIDA",NO
SODOR,MEDICAMENTO GENERICO,"UXAFARMA, S.A.",BAJA POR NO COMERCIALIZAR,GLICLAZIDA,SI
EZETIMIBA/ATORVASTATINA CINFAMED,MEDICAMENTO ETICA,CINFA S.A.,ALTA,"EZETIMIBA,ATORVASTATINA CALCICA TRIHIDRATO",NO
EZETIMIBA/ATORVASTATINA CINFAMED,MEDICAMENTO ETICA,CINFA S.A.,ALTA,"ATORVASTATINA CALCICA TRIHIDRATO,EZETIMIBA",NO
EZETROL,MEDICAMENTO ETICA,"ECOFAR PRODUCTOS, S.L.",ALTA,EZETIMIBA,NO
ATOZET,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,"EZETIMIBA,ATORVASTATINA CALCICA TRIHIDRATO",NO
ACIDO VALPROICO AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,"VALPROICO ACIDO,VALPROATO SODIO",SI
ACIDO VALPROICO AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,"VALPROATO SODIO,VALPROICO ACIDO",SI
QUDIX PROLONG,MEDICAMENTO GENERICO,"ADAMED LABORATORIOS, S.L.U",ALTA,QUETIAPINA FUMARATO,NO
FEBUXOSTAT NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,FEBUXOSTAT,NO
PSOTRIOL,MEDICAMENTO ETICA,"MIBE PHARMA ESPAÑA, S.L.",ALTA,"CALCIPOTRIOL MONOHIDRATO,BETAMETASONA DIPROPIONATO",NO
CARDYL,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,ATORVASTATINA CALCICA TRIHIDRATO,NO
ATOMOXETINA MACLEODS,MEDICAMENTO GENERICO,MACLEODS PHARMA ESPAÑA S.L.U.,BAJA POR NO COMERCIALIZAR,ATOMOXETINA HIDROCLORURO,NO
ATOMOXETINA MACLEODS ,MEDICAMENTO GENERICO,MACLEODS PHARMA ESPAÑA S.L.U.,BAJA POR NO COMERCIALIZAR,ATOMOXETINA HIDROCLORURO,NO
ORVATEZ,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,"ATORVASTATINA CALCICA TRIHIDRATO,EZETIMIBA",NO
CELEBREX,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,CELECOXIB,NO
ALIPZA,MEDICAMENTO ETICA,"MELYFARMA, S.L.",BAJA POR NO COMERCIALIZAR,PITAVASTATINA,NO
DUTASTERIDA/TAMSULOSINA STADA,MEDICAMENTO GENERICO,"STADA, S.L",BAJA POR NO COMERCIALIZAR,"TAMSULOSINA HIDROCLORURO,DUTASTERIDA",NO
DUTASTERIDA/TAMSULOSINA KRKA,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",ALTA,"TAMSULOSINA HIDROCLORURO,DUTASTERIDA",NO
FEOXAN,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,ESLICARBAZEPINA ACETATO,NO
DUTASTERIDA/TAMSULOSINA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"DUTASTERIDA,TAMSULOSINA HIDROCLORURO",NO
VILDAGLIPTINA AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,VILDAGLIPTINA,NO
LEVOSULPIRIDA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,LEVOSULPIRIDA,NO
AXURA,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,MEMANTINA HIDROCLORURO,NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"VALSARTAN,AMLODIPINO BESILATO,HIDROCLOROTIAZIDA",NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,BAJA POR NO COMERCIALIZAR,"HIDROCLOROTIAZIDA,VALSARTAN,AMLODIPINO BESILATO",NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,BAJA POR NO COMERCIALIZAR,"VALSARTAN,AMLODIPINO BESILATO,HIDROCLOROTIAZIDA",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"HIDROCLOROTIAZIDA,AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"OLMESARTAN MEDOXOMILO,AMLODIPINO BESILATO,HIDROCLOROTIAZIDA",NO
DUTASTERIDA/TAMSULOSINA AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,"DUTASTERIDA,TAMSULOSINA HIDROCLORURO",NO
ARIMIDEX,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,ANASTROZOL,NO
LANSOPRAZOL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,LANSOPRAZOL,NO
TRAMADOL/PARACETAMOL QUALIGEN,MEDICAMENTO ETICA,"NEURAXPHARM SPAIN, S.L.U",ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
BISOPROLOL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,BISOPROLOL FUMARATO,SI
ALBIS PLUS,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",NO
ALBIS PLUS,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"HIDROCLOROTIAZIDA,AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO",NO
ALBIS PLUS,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA,AMLODIPINO BESILATO",NO
ALBIS PLUS,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"OLMESARTAN MEDOXOMILO,AMLODIPINO BESILATO,HIDROCLOROTIAZIDA",NO
DUTASTERIDA AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,DUTASTERIDA,NO
LACOSAMIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,LACOSAMIDA,NO
COAPROVEL,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
CONFEROPORT,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TACROLIMUS MONOHIDRATO,NO
DUTASTERIDA/TAMSULOSINA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,"DUTASTERIDA,TAMSULOSINA HIDROCLORURO",NO
TOPIRAMATO AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,TOPIRAMATO,NO
SEREQUR,MEDICAMENTO ETICA,"Q PHARMA, S.L.",ALTA,SERENOA REPENS EXTO LIPIDO ESTEROLICO,NO
METRONIDAZOL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,METRONIDAZOL,NO
FOSFOMICINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,FOSFOMICINA TROMETAMOL,NO
DESLORATADINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,DESLORATADINA,NO
EZETIMIBA/ATORVASTATINA NORMON,MEDICAMENTO ETICA,NORMON S.A.,BAJA POR NO COMERCIALIZAR,"ATORVASTATINA CALCICA TRIHIDRATO,EZETIMIBA",NO
EZETIMIBA/ATORVASTATINA NORMON,MEDICAMENTO ETICA,NORMON S.A.,ALTA,"ATORVASTATINA CALCICA TRIHIDRATO,EZETIMIBA",NO
SINCAL,MEDICAMENTO GENERICO,"Q PHARMA, S.L.",ALTA,SOLIFENACINA SUCCINATO,NO
CONFEROPORT,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",ALTA,TACROLIMUS MONOHIDRATO,NO
SILODOSINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,SILODOSINA,NO
ATOVACUONA GLENMARK,MEDICAMENTO GENERICO,"VISO FARMACEUTICA, S.L.",ALTA,ATOVACUONA,NO
ATORVASTATINA VIVANTA,MEDICAMENTO GENERICO,VIVANTA GENERICS S.R.O.,ALTA,ATORVASTATINA CALCICA TRIHIDRATO,NO
DUTASTERIDA/TAMSULOSINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"TAMSULOSINA HIDROCLORURO,DUTASTERIDA",NO
DULOXETINA RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,DULOXETINA HIDROCLORURO,NO
AZILECT,MEDICAMENTO ETICA,"EUROMED PHARMA SPAIN, S.L.",BAJA POR NO COMERCIALIZAR,RASAGILINA MESILATO,NO
PRASUGREL COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,PRASUGREL,NO
PROPRANOLOL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,PROPRANOLOL HIDROCLORURO,SI
SITAGLIPTINA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,SITAGLIPTINA MALATO,NO
NEBIVOLOL KRKA,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",ALTA,NEBIVOLOL HIDROCLORURO,NO
DULOXETINA TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,DULOXETINA HIDROCLORURO,NO
CRESTOR,MEDICAMENTO ETICA,"MELYFARMA, S.L.",ALTA,ROSUVASTATINA  CALCICA,SI
ROSUVASTATIVA/EZETIMIBA STADAGEN,MEDICAMENTO ETICA,"STADA, S.L",ALTA,"ROSUVASTATINA  CALCICA,EZETIMIBA",NO
BRISTACOL,MEDICAMENTO ETICA,"EXELTIS HEALTHCARE, S.L.",BAJA POR NO COMERCIALIZAR,PRAVASTATINA SODICA,SI
ROSUVASTATIVA/EZETIMIBA STADAGEN,MEDICAMENTO ETICA,"STADA, S.L",ALTA,"EZETIMIBA,ROSUVASTATINA  CALCICA",NO
LEVOSULPIRIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,LEVOSULPIRIDA,NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,"VALSARTAN,HIDROCLOROTIAZIDA,AMLODIPINO BESILATO",NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,VALSARTAN",NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,"VALSARTAN,AMLODIPINO BESILATO,HIDROCLOROTIAZIDA",NO
AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,"AMLODIPINO BESILATO,VALSARTAN,HIDROCLOROTIAZIDA",NO
DUTASTERIDA/TAMSULOSINA RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"TAMSULOSINA HIDROCLORURO,DUTASTERIDA",NO
LANSOPRAZOL CINFA ,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,LANSOPRAZOL,NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA,AMLODIPINO BESILATO",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"AMLODIPINO BESILATO,OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",NO
OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO,AMLODIPINO BESILATO",NO
EUCREAS,MEDICAMENTO ETICA,"ECOFAR PRODUCTOS, S.L.",ALTA,"METFORMINA HIDROCLORURO,VILDAGLIPTINA",NO
UROREC,MEDICAMENTO ETICA,"ECOFAR PRODUCTOS, S.L.",ALTA,SILODOSINA,NO
EBIXA,MEDICAMENTO ETICA,"ECOFAR PRODUCTOS, S.L.",ALTA,MEMANTINA HIDROCLORURO,NO
LETROZOL MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,LETROZOL,NO
DEKRISTOLAN,MEDICAMENTO ETICA,"MIBE PHARMA ESPAÑA, S.L.",ALTA,COLECALCIFEROL,NO
CELEBREX,MEDICAMENTO ETICA,"ECOFAR PRODUCTOS, S.L.",ALTA,CELECOXIB,NO
ARAVA,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,LEFLUNOMIDA,NO
CEFIXIMA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,CEFIXIMA TRIHIDRATO,NO
FENTANILO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,FENTANILO CITRATO,NO
AVIDART,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",ALTA,DUTASTERIDA,NO
PARACETAMOL MABO-FARMA,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,PARACETAMOL,NO
ESLICARBAZEPINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,ESLICARBAZEPINA ACETATO,NO
DUTASTERIDA/TAMSULOSINA TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"DUTASTERIDA,TAMSULOSINA HIDROCLORURO",NO
BRIVUDINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,BRIVUDINA,NO
ALMOGRAN,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,ALMOTRIPTAN,NO
DELCRIN,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,COLECALCIFEROL,NO
BUPROPION RATIOPHARM,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,BUPROPION HIDROCLORURO,NO
SIMVASTATINA TEVA-RIMAFAR,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,SIMVASTATINA,SI
SIMVASTATINA TEVA-RIMAFAR,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,SIMVASTATINA,SI
